epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2142.85,1.42171,1.13474,1.65473,0.76972,0.65554,0.72824,0.40436,1.63141,1.20524,1.84306,0.005743,0.005743,0.005743
45,2191.6,1.42856,1.15758,1.67222,0.7569,0.65985,0.73218,0.40483,1.64865,1.22077,1.86287,0.005644,0.005644,0.005644
46,2240.84,1.41128,1.12353,1.65216,0.77406,0.63387,0.71254,0.3985,1.62495,1.27382,1.83877,0.005545,0.005545,0.005545
47,2288.38,1.4161,1.12573,1.64906,0.77642,0.63636,0.71939,0.41129,1.63486,1.24079,1.87257,0.005446,0.005446,0.005446
48,2336.79,1.40022,1.11605,1.64389,0.77203,0.67357,0.74199,0.41682,1.60418,1.17185,1.82475,0.005347,0.005347,0.005347
49,2384.81,1.40642,1.11399,1.64133,0.78544,0.65433,0.73483,0.41159,1.62049,1.193,1.83407,0.005248,0.005248,0.005248
50,2432.19,1.39621,1.12047,1.63488,0.78291,0.63636,0.71434,0.39904,1.64685,1.22974,1.84665,0.005149,0.005149,0.005149
51,2480.18,1.3897,1.10379,1.63569,0.79461,0.66954,0.75162,0.4265,1.58947,1.15495,1.80876,0.00505,0.00505,0.00505
52,2528.42,1.38866,1.10166,1.63048,0.79695,0.66609,0.7504,0.41827,1.63131,1.17188,1.84078,0.004951,0.004951,0.004951
53,2576.42,1.3794,1.0845,1.6095,0.79144,0.68335,0.75942,0.43084,1.5932,1.12354,1.80804,0.004852,0.004852,0.004852
54,2624.38,1.37857,1.0757,1.61652,0.79259,0.65554,0.74186,0.42246,1.59218,1.16733,1.82349,0.004753,0.004753,0.004753
55,2671.21,1.37222,1.07109,1.60975,0.79722,0.68738,0.77431,0.4536,1.56797,1.09923,1.78205,0.004654,0.004654,0.004654
56,2720.26,1.36369,1.06268,1.60279,0.79162,0.66667,0.75509,0.42558,1.61281,1.13194,1.82936,0.004555,0.004555,0.004555
57,2767.65,1.35924,1.06504,1.59389,0.81761,0.68092,0.76337,0.44706,1.57668,1.10247,1.79309,0.004456,0.004456,0.004456
58,2815.26,1.34992,1.05171,1.59715,0.80691,0.68374,0.76753,0.45115,1.54343,1.09705,1.76952,0.004357,0.004357,0.004357
59,2863.54,1.35035,1.05338,1.59147,0.81262,0.68661,0.77268,0.45511,1.55194,1.08008,1.7856,0.004258,0.004258,0.004258
60,2913.15,1.3397,1.03864,1.58042,0.79237,0.69166,0.768,0.44622,1.56624,1.13203,1.776,0.004159,0.004159,0.004159
61,2959.87,1.3335,1.03305,1.57769,0.81009,0.67932,0.76316,0.44659,1.56864,1.12084,1.78893,0.00406,0.00406,0.00406
