epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2495.51,1.36836,1.0652,1.32464,0.77229,0.63675,0.71337,0.40264,1.59308,1.18419,1.47814,0.005743,0.005743,0.005743
45,2556.51,1.37182,1.07066,1.33334,0.76878,0.62927,0.69969,0.38666,1.63769,1.20946,1.51633,0.005644,0.005644,0.005644
46,2612.87,1.36077,1.04863,1.32543,0.78557,0.65556,0.73106,0.41196,1.608,1.15912,1.50691,0.005545,0.005545,0.005545
47,2673.74,1.36025,1.04818,1.32013,0.8015,0.66149,0.75278,0.43354,1.54731,1.10605,1.44729,0.005446,0.005446,0.005446
48,2731.79,1.34037,1.03369,1.31215,0.8087,0.67932,0.76354,0.44198,1.53422,1.04135,1.44717,0.005347,0.005347,0.005347
49,2800.54,1.35233,1.03223,1.31113,0.76778,0.65884,0.73306,0.4074,1.6124,1.11159,1.49487,0.005248,0.005248,0.005248
50,2864.9,1.33944,1.03665,1.3096,0.77458,0.65842,0.73826,0.42708,1.55707,1.11857,1.44836,0.005149,0.005149,0.005149
51,2920.46,1.33198,1.02204,1.31174,0.79124,0.68912,0.75933,0.44289,1.52613,1.07298,1.43426,0.00505,0.00505,0.00505
52,2980.44,1.33842,1.02109,1.30483,0.78329,0.67913,0.74956,0.42835,1.56987,1.10533,1.45134,0.004951,0.004951,0.004951
53,3043.45,1.32314,1.00846,1.29405,0.79495,0.69967,0.77129,0.45123,1.52251,1.04639,1.42243,0.004852,0.004852,0.004852
54,3099.53,1.32548,1.0024,1.29754,0.79996,0.68107,0.75399,0.43851,1.52353,1.06558,1.43784,0.004753,0.004753,0.004753
55,3166.06,1.31739,0.99668,1.29486,0.77801,0.70771,0.7681,0.44231,1.53664,1.05148,1.43678,0.004654,0.004654,0.004654
56,3222.87,1.30814,0.99313,1.28706,0.8106,0.68757,0.77294,0.45244,1.52355,1.04143,1.41574,0.004555,0.004555,0.004555
57,3287.34,1.30496,0.98187,1.27963,0.80768,0.6645,0.74737,0.43647,1.53657,1.06678,1.43739,0.004456,0.004456,0.004456
58,3346.75,1.29806,0.97172,1.28455,0.79619,0.68631,0.76291,0.44215,1.52563,1.05779,1.41576,0.004357,0.004357,0.004357
59,3411.45,1.29586,0.97583,1.27588,0.78357,0.6888,0.75413,0.43815,1.51852,1.04517,1.42548,0.004258,0.004258,0.004258
60,3470.91,1.28793,0.96538,1.27678,0.804,0.69861,0.77538,0.46209,1.48003,0.99265,1.39805,0.004159,0.004159,0.004159
61,3534.12,1.27882,0.95437,1.2729,0.81817,0.69908,0.7836,0.46918,1.47517,0.98003,1.38917,0.00406,0.00406,0.00406
62,3595.74,1.27991,0.94397,1.26865,0.81197,0.7242,0.79505,0.47837,1.43934,0.95886,1.3719,0.003961,0.003961,0.003961
63,3651.39,1.27334,0.94199,1.26471,0.83685,0.70339,0.78632,0.47642,1.45113,0.979,1.3713,0.003862,0.003862,0.003862
64,3708.46,1.2667,0.93515,1.25939,0.82201,0.70982,0.79294,0.47894,1.4655,0.99307,1.37559,0.003763,0.003763,0.003763
65,3764.37,1.26493,0.93658,1.25593,0.83798,0.70752,0.79632,0.48856,1.43487,0.9596,1.37408,0.003664,0.003664,0.003664
66,3824.33,1.26051,0.9273,1.25722,0.80962,0.71613,0.78787,0.4828,1.44058,0.96509,1.3728,0.003565,0.003565,0.003565
67,3882.13,1.2549,0.91998,1.25414,0.80042,0.7033,0.77093,0.46266,1.45342,1.00437,1.36271,0.003466,0.003466,0.003466
68,3942.84,1.24814,0.9088,1.24784,0.82143,0.72382,0.7988,0.48534,1.43755,0.9326,1.36176,0.003367,0.003367,0.003367
69,3999.94,1.24167,0.9084,1.24644,0.82479,0.71749,0.79256,0.4865,1.43572,0.9614,1.35231,0.003268,0.003268,0.003268
70,4060.46,1.24055,0.9022,1.2434,0.83712,0.72881,0.80567,0.49734,1.38832,0.91619,1.34081,0.003169,0.003169,0.003169
71,4117.82,1.23254,0.88896,1.23354,0.83108,0.71672,0.80118,0.49305,1.41217,0.95065,1.34959,0.00307,0.00307,0.00307
72,4178.53,1.22855,0.8978,1.23736,0.82845,0.7359,0.8018,0.49501,1.40374,0.94396,1.3466,0.002971,0.002971,0.002971
73,4232.74,1.21932,0.89057,1.23678,0.85975,0.71952,0.80743,0.50651,1.36967,0.91546,1.32608,0.002872,0.002872,0.002872
74,4288.96,1.23188,0.88909,1.24353,0.84132,0.72881,0.8098,0.50585,1.36996,0.89575,1.32125,0.002773,0.002773,0.002773
75,4345.51,1.21209,0.88413,1.22488,0.8527,0.7228,0.80768,0.51294,1.36695,0.90189,1.31571,0.002674,0.002674,0.002674
76,4405.68,1.21027,0.86506,1.21927,0.84936,0.69755,0.79387,0.50279,1.37644,0.91959,1.32259,0.002575,0.002575,0.002575
77,4467.49,1.20246,0.86421,1.22155,0.86729,0.71979,0.80951,0.51883,1.3425,0.88354,1.3038,0.002476,0.002476,0.002476
78,4528.43,1.20534,0.86509,1.2218,0.85708,0.72459,0.81003,0.51676,1.35839,0.89466,1.31131,0.002377,0.002377,0.002377
79,4587.73,1.19014,0.84778,1.21377,0.84482,0.71941,0.80241,0.51939,1.34378,0.88337,1.3051,0.002278,0.002278,0.002278
80,4649.21,1.19473,0.85183,1.21856,0.85108,0.74205,0.81624,0.51937,1.34739,0.89614,1.31367,0.002179,0.002179,0.002179
81,4708.81,1.1947,0.85274,1.2148,0.85319,0.73565,0.81445,0.52014,1.33611,0.87889,1.29684,0.00208,0.00208,0.00208
82,4767.56,1.19291,0.85156,1.2193,0.85827,0.72727,0.81335,0.52048,1.34868,0.89107,1.30793,0.001981,0.001981,0.001981
83,4824.55,1.17068,0.83275,1.19753,0.85675,0.73341,0.81673,0.52579,1.34059,0.8777,1.30056,0.001882,0.001882,0.001882
84,4879.54,1.17187,0.83003,1.20046,0.85719,0.73674,0.82133,0.52868,1.32208,0.85527,1.29068,0.001783,0.001783,0.001783
85,4939.17,1.17271,0.83212,1.20694,0.85173,0.75432,0.82674,0.53779,1.31342,0.85,1.28934,0.001684,0.001684,0.001684
86,4994.17,1.16626,0.81792,1.19621,0.86049,0.73974,0.81913,0.53537,1.30665,0.85536,1.2795,0.001585,0.001585,0.001585
87,5054.69,1.15765,0.8101,1.1871,0.85087,0.74242,0.82031,0.53848,1.30539,0.8531,1.28468,0.001486,0.001486,0.001486
88,5109.68,1.1625,0.82657,1.20247,0.86773,0.72842,0.81568,0.53091,1.32035,0.8755,1.28417,0.001387,0.001387,0.001387
89,5170.15,1.14397,0.8039,1.1898,0.85998,0.73686,0.81868,0.53744,1.30227,0.85961,1.27408,0.001288,0.001288,0.001288
90,5228.62,1.14132,0.80168,1.18992,0.86716,0.74012,0.81958,0.54035,1.29767,0.85094,1.2777,0.001189,0.001189,0.001189
91,5295.92,1.12685,0.72501,1.16738,0.85801,0.74031,0.8151,0.53,1.32125,0.86797,1.29266,0.00109,0.00109,0.00109
92,5345.86,1.09689,0.6907,1.15593,0.86781,0.74662,0.82414,0.54361,1.2899,0.84476,1.26916,0.000991,0.000991,0.000991
93,5397.2,1.08417,0.67889,1.15045,0.84981,0.75643,0.82425,0.54696,1.28231,0.83619,1.26855,0.000892,0.000892,0.000892
94,5451.42,1.08025,0.67021,1.14383,0.85883,0.757,0.82691,0.55241,1.26928,0.82261,1.25731,0.000793,0.000793,0.000793
95,5502.86,1.07151,0.66557,1.13921,0.87657,0.74371,0.82361,0.54812,1.27259,0.83297,1.26624,0.000694,0.000694,0.000694
96,5561.89,1.06141,0.65994,1.1378,0.87288,0.74935,0.82774,0.552,1.26556,0.82144,1.25643,0.000595,0.000595,0.000595
97,5615.87,1.05588,0.65537,1.13541,0.87054,0.74933,0.82907,0.55708,1.25794,0.82026,1.26125,0.000496,0.000496,0.000496
98,5667.87,1.04469,0.64595,1.12783,0.87533,0.74434,0.82743,0.55631,1.25831,0.82578,1.2597,0.000397,0.000397,0.000397
99,5719.14,1.04396,0.64778,1.13025,0.8738,0.75182,0.82922,0.55872,1.24929,0.82056,1.2587,0.000298,0.000298,0.000298
100,5772.06,1.03824,0.6438,1.1242,0.87459,0.75297,0.82847,0.56048,1.24818,0.81958,1.25528,0.000199,0.000199,0.000199
